verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
TRUE,Barack Obama,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",6/11/2008,speech,Adriel Bettelheim,6/16/2008,https://www.politifact.com/factchecks/2008/jun/16/barack-obama/no-exemptions-for-debtors/
FALSE,Donald Trump,"With voting by mail, ""you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.""",4/7/2020,news,Louis Jacobson,4/9/2020,https://www.politifact.com/factchecks/2020/apr/09/donald-trump/donald-trumps-dubious-claim-thousands-are-conspiri/
FALSE,Donald Trump,"Says he is ""cutting illegal immigration in half.""",10/30/2019,campaign,Miriam Valverde,10/31/2019,https://www.politifact.com/factchecks/2019/oct/31/donald-trump/donald-trumps-world-series-ad-said-he-cut-illegal-/
mostly-true,Joe Biden,"""All the billionaires in America, their net worth combined … has increased by $800 billion"" during the pandemic.",9/21/2020,speech,Nusaiba Mizan,10/12/2020,https://www.politifact.com/factchecks/2020/oct/12/joe-biden/biden-says-billionaires-gained-800-billion-study-l/
half-true,Donald Trump,"Says that in polls about 2016 candidate leadership skills, he comes out ""two and three and four times higher than anybody else.""",11/8/2015,speech,Lauren Carroll,11/8/2015,https://www.politifact.com/factchecks/2015/nov/08/donald-trump/trump-my-numbers-leadership-its-two-or-three-or-fo/
FALSE,John McCain,"""The Iranians continue – in the view of every objective observer – continue to pursue the acquisition of nuclear weapons.""",6/24/2008,other,Alexander Lane,7/7/2008,https://www.politifact.com/factchecks/2008/jul/07/john-mccain/no-consensus-on-irans-nuke-program/
half-true,Barack Obama,"""I wrote to Secretary Paulson, I wrote to Federal Reserve Chairman Bernanke [in March 2007], and told them this is something we have to deal with, and nobody did anything about it.""",10/7/2008,speech,Robert Farley,10/13/2008,https://www.politifact.com/factchecks/2008/oct/13/barack-obama/2007-was-too-late-to-head-off-the-crisis/
mostly-true,Ted Cruz,"Says Beto O’Rourke is ""open to abolishing ICE.""",8/3/2018,advertisement,W. Gardner Selby,8/6/2018,https://www.politifact.com/factchecks/2018/aug/06/ted-cruz/ted-cruz-says-beto-orourke-open-abolishing-ice/
TRUE,John McCain,"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.""",5/19/2008,other,Robert Farley,5/21/2008,https://www.politifact.com/factchecks/2008/may/21/john-mccain/he-has-said-it-again-and-again/
mostly-false,Barack Obama,"""During my administration, for example, we boosted U.S. exports to Canada and Mexico by about 50 percent. That supports about 2.8 million American jobs.""",6/29/2016,news,Neelesh Moorthy,7/5/2016,https://www.politifact.com/factchecks/2016/jul/05/barack-obama/obama-incorrectly-characterizes-job-growth-due-inc/
pants-fire,Donald Trump,"""The ice caps were going to melt, they were going to be gone by now, but now they’re setting records, so okay, they’re at a record level.""",1/26/2018,news,Jon Greenberg,1/29/2018,https://www.politifact.com/factchecks/2018/jan/29/donald-trump/trump-gets-polar-ice-trend-backwards/
mostly-true,Bernie Sanders,"""Over half of the black workers in this country earn less"" than $15 an hour.",11/6/2015,meeting,Louis Jacobson,11/12/2015,https://www.politifact.com/factchecks/2015/nov/12/bernie-sanders/bernie-sanders-says-over-half-black-workers-earn-l/
FALSE,Barack Obama,"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",12/3/2009,speech,Angie Drobnic Holan,12/7/2009,https://www.politifact.com/factchecks/2009/dec/07/barack-obama/obama-said-reporters-didnt-ask-questions-issues-th/
mostly-true,Donald Trump,"""Ford is moving all of their small-car production to Mexico.""",10/20/2016,speech,Louis Jacobson,10/23/2016,https://www.politifact.com/factchecks/2016/oct/23/donald-trump/donald-trump-says-ford-moving-all-small-car-produc/
pants-fire,Ted Cruz,"David Dewhurst has a ""record of promoting an income tax.""",1/12/2012,other,W. Gardner Selby,2/10/2012,https://www.politifact.com/factchecks/2012/feb/10/ted-cruz/ted-cruz-says-david-dewhurst-has-record-promoting-/
FALSE,Donald Trump,"""We've done more tests in eight days than South Korea has done in eight weeks.""",3/24/2020,news,Shefali Luthra,3/25/2020,https://www.politifact.com/factchecks/2020/mar/25/donald-trump/trumps-boast-about-us-south-korea-coronavirus-test/
mostly-false,Barack Obama,"Says Jonathan Gruber was ""some adviser who never worked on our staff.""",11/16/2014,other,Steve Contorno,11/19/2014,https://www.politifact.com/factchecks/2014/nov/19/barack-obama/barack-obama-says-mit-professor-jonathan-gruber-wa/
